1,1a,Crispy Aromatic Duck 1/4,8.50
2,1b,Crispy Aromatic Duck 1/2 ,16.50
3,2,Pork Yuk Sung,5.70
4,3,Spare Ribs BBQ,5.70
5,4,Spare Ribs Dry,5.70
6,5,Sweet 'n' Sour Ribs,5.70
7,6,Syrup Ribs,5.70
8,7,Capital Spare Ribs,5.70
9,8,Crispy Spare Ribs,5.70
10,9,Spicy S 'n' P Ribs,5.70
11,10,Shredded S 'n' P Chicken,5.20
12,11,Skewered Satay Chicken,5.40
13,12,Spicy S 'n' P Chicken Wings,4.80
14,13,Deep Fried Chicken Wings,4.80
15,14,Chicken Wings in Cantonese,4.80
16,15,Pancake Roll,2.00
17,16,Vegetarian Spring Roll,3.00
18,17,Chicken Spring Rolls,3.50
19,18,Mini Vegetarian Spring Rolls,2.00
20,19,Prawn Toast,2.80
21,20,Seaweed,3.40
22,21,Crab Claws,4.00
23,22,Curry Samosa,3.00